translation,ayah_number,surah_number,sentence,en-tafsir-mokhtasar-html
They have found the guidance of their Lord and will be successful.,4,2,أُو۟لَٰٓئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمْ وَأُو۟لَٰٓئِكَ هُمُ ٱلْمُفْلِحُونَ,"The people who possess these qualities are on the path of guidance, and will be successful in this world and the next, gaining what they desire and being saved from what they fear."
"As for those who deny, it is all the same if you warn them or not, they will not believe.",5,2,إِنَّ ٱلَّذِينَ كَفَرُوا۟ سَوَآءٌ عَلَيْهِمْ ءَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ,"Those who reject what Allah revealed to His Messenger continue on the wrong path in their stubbornness. So, it makes no difference whether you warn them or not."
"God has sealed their hearts and ears, and veiled their eyes. For them is great deprivation.",6,2,خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ وَعَلَىٰٓ أَبْصَٰرِهِمْ غِشَٰوَةٌ وَلَهُمْ عَذَابٌ عَظِيمٌ,"Allah has sealed their hearts, locking inside them their falsehood, and has placed a seal on their hearing, so that they do not listen to nor accept the truth. He has put a cover over their eyes, so that they do not see the truth in its clarity. They will suffer greatly. After describing the disbelievers, who are at fault inside and out, He describes the hypocrites, who appear good on the outside, but are not so inwardly:"
"And there are some who, though they say: ""We believe in God and the Last Day,"" (in reality) do not believe.",7,2,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلْيَوْمِ ٱلْءَاخِرِ وَمَا هُم بِمُؤْمِنِينَ,"Among people are some who claim to have faith in Allah, when they actually do not believe."
"They (try to) deceive God and those who believe, yet deceive none but themselves although they do not know.",8,2,يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُوا۟ وَمَا يَخْدَعُونَ إِلَّآ أَنفُسَهُمْ وَمَا يَشْعُرُونَ,"They think that they can deceive Allah and the believers by acting outside as if they believe, while inside hiding their disbelief; but really, they only deceive themselves, without realising it. Allah knows all that is secret and hidden, and has told the believers what these people are like."
"Sick are their hearts, and God adds to their malady. For them is suffering for they lie.",9,2,فِى قُلُوبِهِم مَّرَضٌ فَزَادَهُمُ ٱللَّهُ مَرَضًا وَلَهُمْ عَذَابٌ أَلِيمٌۢ بِمَا كَانُوا۟ يَكْذِبُونَ,"Allah increases the disease in their hearts, and they reap what they sow. Because they lied Allah increases the disease of doubts in their hearts, by adding hesitation to their uncertainty, hence they only gain what they deserve. They will have a painful suffering in the worst parts of Hell because they lied against Allah, and the people, and rejected the message brought by Muhammad (peace be upon him)."
"When asked to desist from spreading corruption in the land they say: ""Why, we are reformers.""",10,2,وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا۟ فِى ٱلْأَرْضِ قَالُوٓا۟ إِنَّمَا نَحْنُ مُصْلِحُونَ,"When they are told not to ruin things on earth – through their rejection of the truth, their disobedience and so on – they deny doing so, claiming that they only correct things and put them right."
"Yet they are surely mischief-mongers, even though they do not know.",11,2,أَلَآ إِنَّهُمْ هُمُ ٱلْمُفْسِدُونَ وَلَٰكِن لَّا يَشْعُرُونَ,"The truth is that it is they who ruin things, but they do not admit this, nor do they know that their actions are the cause of all ruin."
"When asked to believe as others do, they say: ""Should we believe like fools?"" And yet they are the fools, even though they do not know.",12,2,وَإِذَا قِيلَ لَهُمْ ءَامِنُوا۟ كَمَآ ءَامَنَ ٱلنَّاسُ قَالُوٓا۟ أَنُؤْمِنُ كَمَآ ءَامَنَ ٱلسُّفَهَآءُ أَلَآ إِنَّهُمْ هُمُ ٱلسُّفَهَآءُ وَلَٰكِن لَّا يَعْلَمُونَ,"When they are told to have faith as the companions of Muhammad (peace be upon him) did, they reply, looking down on people and making fun of them, saying “should we have faith like simple-minded people do?” In fact, it is they who are the fools, but they are unaware of this."
"When they meet the faithful they say: ""We believe;"" but when alone with the devils (their fellows), they say: ""We are really with you; we were joking.""",13,2,وَإِذَا لَقُوا۟ ٱلَّذِينَ ءَامَنُوا۟ قَالُوٓا۟ ءَامَنَّا وَإِذَا خَلَوْا۟ إِلَىٰ شَيَٰطِينِهِمْ قَالُوٓا۟ إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِءُونَ,"When the hypocrites meet the believers, they say, ‘We believe what you believe’, as they think it will benefit them if they act like this; but when they are alone with their leaders, they say, ‘We are really with you and follow you. We are only making fun of them when we say that we believe’."
But God will turn the joke against them and allow them to sink deeper into evil and wander perplexed in their wickedness.,14,2,ٱللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِى طُغْيَٰنِهِمْ يَعْمَهُونَ,"Allah mocks the hypocrites for their mocking of the believers, and He will repay in equal measure for their behavior. They are treated as believers in this world, but will be repaid for their lying and deception in the next life. He allows them to become more and more lost and to do more and more wrong, so they remain confused and doubtful about the truth."
"They are indeed those who bartered away good guidance for error and gained nothing from the deal, nor found the right way.",15,2,أُو۟لَٰٓئِكَ ٱلَّذِينَ ٱشْتَرَوُا۟ ٱلضَّلَٰلَةَ بِٱلْهُدَىٰ فَمَا رَبِحَت تِّجَٰرَتُهُمْ وَمَا كَانُوا۟ مُهْتَدِينَ,"It is they who are the fools, because they exchanged faith for disbelief; and this exchange did not help them in any way, because they lost their faith in Allah and lost the way to the truth."
"They are like a man who kindles a fire, and when its glow has illumined the air God takes away their light leaving them in the dark where they will not be able to see.",16,2,مَثَلُهُمْ كَمَثَلِ ٱلَّذِى ٱسْتَوْقَدَ نَارًا فَلَمَّآ أَضَآءَتْ مَا حَوْلَهُۥ ذَهَبَ ٱللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِى ظُلُمَٰتٍ لَّا يُبْصِرُونَ,"They are like someone who lights a fire, but when it has lit up what is around him, Allah takes away the light from the flames: leaving them in the darkness, unable to see. Allah shows us what the hypocrites are like with two examples: one related to fire, and the other to water. In the example related to fire, He compares them to someone who lights a fire to illuminate things, but when it is lit and he thinks he will benefit from its light, it goes out, smoldering and leaving him in the dark. Such people then remain in the dark, unable to see anything or find a way."
"They are deaf, dumb and blind, and shall never return;",17,2,صُمٌّۢ بُكْمٌ عُمْىٌ فَهُمْ لَا يَرْجِعُونَ,"They are deaf: unable to hear and accept the truth, or speak about it. They are blind to seeing the truth, so they do not turn back from their error."
"Or like rain pouring from the sky which hides within it darkness, thunder and lightning. They thrust their fingers into their ears for safety against noise and death. But God surrounds those who believe not from all sides.",18,2,أَوْ كَصَيِّبٍ مِّنَ ٱلسَّمَآءِ فِيهِ ظُلُمَٰتٌ وَرَعْدٌ وَبَرْقٌ يَجْعَلُونَ أَصَٰبِعَهُمْ فِىٓ ءَاذَانِهِم مِّنَ ٱلصَّوَٰعِقِ حَذَرَ ٱلْمَوْتِ وَٱللَّهُ مُحِيطٌۢ بِٱلْكَٰفِرِينَ,"In the example related to water, a storm full of darkness, thunder and lightning is described. Some people are terrified by it and put their fingers in their ears because of the strength of the thunderclaps, scared of death. Allah surrounds the disbelievers, and has absolute power over them, so they cannot escape Him."
Verily the lightning could snatch away their eyes. When it flashes forth they walk in its flare. When darkness returns they stand still. And if the Lord wills so He could take away their hearing and sight; surely God is all-powerful.,19,2,يَكَادُ ٱلْبَرْقُ يَخْطَفُ أَبْصَٰرَهُمْ كُلَّمَآ أَضَآءَ لَهُم مَّشَوْا۟ فِيهِ وَإِذَآ أَظْلَمَ عَلَيْهِمْ قَامُوا۟ وَلَوْ شَآءَ ٱللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَٰرِهِمْ إِنَّ ٱللَّهَ عَلَىٰ كُلِّ شَىْءٍ قَدِيرٌ,"The brightness of the lightning almost blinds them. Whenever it flashes, lighting things up, they go forward and when there is no light they remain in darkness, unable to move. If God willed, He could take away their hearing and their sight, in His absolute power over all things; and not return it to them because they turn away from the truth. The rain in the storm could be likened to the Qur’ān, the thunderclap to its warnings, and the lightning to truths, appearing to them from time to time. The covering of their ears to the thunderclaps likened to their turning away from the truth, and not responding to it. The hypocrites are similar to the people in these examples because they receive no benefit from anything. In the example of the fire, all they receive is darkness and a smoldering fire. In the example of the storm-cloud, all they receive is fear and alarm because of the thunder and lightning. Similarly, the hypocrites see nothing in Islam except difficulty and harshness."
"So, O you people, adore your Lord who created you, as He did those before you, that you could take heed for yourselves and fear Him",20,2,يَٰٓأَيُّهَا ٱلنَّاسُ ٱعْبُدُوا۟ رَبَّكُمُ ٱلَّذِى خَلَقَكُمْ وَٱلَّذِينَ مِن قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ,"O people, worship no one other than your Lord, because He created you and the people before you, so that you may save yourselves from suffering, by following His instructions and keeping away from what He has prohibited."
"Who made the earth a bed for you, the sky a canopy, and sends forth rain from the skies that fruits may grow -- your food and sustenance. So, do not make another the equal of God knowingly.",21,2,ٱلَّذِى جَعَلَ لَكُمُ ٱلْأَرْضَ فِرَٰشًا وَٱلسَّمَآءَ بِنَآءً وَأَنزَلَ مِنَ ٱلسَّمَآءِ مَآءً فَأَخْرَجَ بِهِۦ مِنَ ٱلثَّمَرَٰتِ رِزْقًا لَّكُمْ فَلَا تَجْعَلُوا۟ لِلَّهِ أَندَادًا وَأَنتُمْ تَعْلَمُونَ,"It is He Who made the earth like a carpet spread out in front of you and it is He Who masterfully constructed the sky over you. Through His grace rain falls, producing different crops from the earth, as produce for you. Do not, then, consider others to be equal to Allah, when you know that He alone is worthy of being worshipped."
"If you are in doubt of what We have revealed to Our votary, then bring a Surah like this, and call any witness, apart from God, you like, if you are truthful.",22,2,وَإِن كُنتُمْ فِى رَيْبٍ مِّمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا فَأْتُوا۟ بِسُورَةٍ مِّن مِّثْلِهِۦ وَٱدْعُوا۟ شُهَدَآءَكُم مِّن دُونِ ٱللَّهِ إِن كُنتُمْ صَٰدِقِينَ,"Allah challenges those who have any doubt about the Qur’ān revealed to His servant, Muhammad (peace be upon him), to produce a chapter just like it, and to call their helpers, if they are truthful about what they say."
"But if you cannot, as indeed you cannot, then guard yourselves against the Fire whose fuel is men and rocks, which has been prepared for the infidels.",23,2,فَإِن لَّمْ تَفْعَلُوا۟ وَلَن تَفْعَلُوا۟ فَٱتَّقُوا۟ ٱلنَّارَ ٱلَّتِى وَقُودُهَا ٱلنَّاسُ وَٱلْحِجَارَةُ أُعِدَّتْ لِلْكَٰفِرِينَ,"If they are unable to do so – and they will never be able to do it – they should be mindful of the fire of Hell, which burns with people who deserve the torment, and with the idols which they used to worship instead of Allah: punishing both the idol-worshipers and what they worshiped. The fire of Hell has been prepared as a punishment for the disbelievers."
"Announce to those who believe and have done good deeds, glad tidings of gardens under which rivers flow, and where, when they eat the fruits that grow, they will say: ""Indeed they are the same as we were given before,"" so like in semblance the food would be. And they shall have fair spouses there, and live there abidingly.",24,2,وَبَشِّرِ ٱلَّذِينَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّٰلِحَٰتِ أَنَّ لَهُمْ جَنَّٰتٍ تَجْرِى مِن تَحْتِهَا ٱلْأَنْهَٰرُ كُلَّمَا رُزِقُوا۟ مِنْهَا مِن ثَمَرَةٍ رِّزْقًا قَالُوا۟ هَٰذَا ٱلَّذِى رُزِقْنَا مِن قَبْلُ وَأُتُوا۟ بِهِۦ مُتَشَٰبِهًا وَلَهُمْ فِيهَآ أَزْوَٰجٌ مُّطَهَّرَةٌ وَهُمْ فِيهَا خَٰلِدُونَ,"The warnings in the previous verses were for the disbelievers, so now the Messenger is told to address the believers: Give good news to those who have faith in Allah and do good, and tell them about that which will please them: gardens in Paradise, with rivers flowing beneath their palaces and trees. Whenever they are given fruits from the gardens to consume, they will comment on how similar they are to the fruits of the earth, saying, ‘This is similar to what we had before’. They will be given fruits that carry the same name and shape, so that they may recognise and desire them, but they will in fact taste differently. In the Garden they will be paired with their mates, who will not have any unpleasant traits that people have on earth; and they will live there in eternal bliss, unlike the bliss of the earth which is only temporary."
"God is not loath to advance the similitude of a gnat or a being more contemptible; and those who believe know whatever is from the Lord is true. But those who disbelieve say: ""What does God mean by this parable?"" He causes some to err this way, and some He guides; yet He turns away none but those who transgress,",25,2,إِنَّ ٱللَّهَ لَا يَسْتَحْىِۦٓ أَن يَضْرِبَ مَثَلًا مَّا بَعُوضَةً فَمَا فَوْقَهَا فَأَمَّا ٱلَّذِينَ ءَامَنُوا۟ فَيَعْلَمُونَ أَنَّهُ ٱلْحَقُّ مِن رَّبِّهِمْ وَأَمَّا ٱلَّذِينَ كَفَرُوا۟ فَيَقُولُونَ مَاذَآ أَرَادَ ٱللَّهُ بِهَٰذَا مَثَلًا يُضِلُّ بِهِۦ كَثِيرًا وَيَهْدِى بِهِۦ كَثِيرًا وَمَا يُضِلُّ بِهِۦٓ إِلَّا ٱلْفَٰسِقِينَ,"Allah does not shy away from using whatever example He wishes, whether that be of a gnat or anything bigger than it. The believers know and trust that there is wisdom in the use of such examples, while the disbelievers will make fun, asking each other why Allah uses examples with lowly creatures, such as gnats, flies and spiders. Allah replies that in these examples lie guidance, direction and a test for people. There are many people who are misguided by Allah through these examples, because they refuse to consider them; and there are many who He guides along the right path because they learn from them. He does not misguide anyone except those who deserve to be misguided. They are those who do not obey Him."
"Who, having sealed it, break God's covenant, dividing what He ordained cohered; and those who spread discord in the land will suffer assuredly.",26,2,ٱلَّذِينَ يَنقُضُونَ عَهْدَ ٱللَّهِ مِنۢ بَعْدِ مِيثَٰقِهِۦ وَيَقْطَعُونَ مَآ أَمَرَ ٱللَّهُ بِهِۦٓ أَن يُوصَلَ وَيُفْسِدُونَ فِى ٱلْأَرْضِ أُو۟لَٰٓئِكَ هُمُ ٱلْخَٰسِرُونَ,"Those who break the promise they made with God to serve Him alone and follow His way. This is in the verse, “He made them testify concerning themselves: “Am I not your Lord?” They said, “Yes, we bear witness!” (7:172) He affirmed this by sending the prophets and the scriptures. Those who do not take their promises with God seriously are those who cut off from things which God instructed not to, such as blood relations and they work to spread corruption on earth through their wrongdoing. They are the losers in this world and the next."
Then how can you disbelieve in God? He gave you life when you were dead. He will make you die again then bring you back to life: To Him then you will return.,27,2,كَيْفَ تَكْفُرُونَ بِٱللَّهِ وَكُنتُمْ أَمْوَٰتًا فَأَحْيَٰكُمْ ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَ,"Strange is the situation of the disbelievers. How can you disbelieve the Oneness of Allah when you can see the signs of His power in your own existence? You were nothing, and He brought you to life; then you will die, and you shall be brought to life again. Then you will return to Him and be held accountable."
"He made for you all that lies within the earth, then turning to the firmament He proportioned several skies: He has knowledge of everything.",28,2,هُوَ ٱلَّذِى خَلَقَ لَكُم مَّا فِى ٱلْأَرْضِ جَمِيعًا ثُمَّ ٱسْتَوَىٰٓ إِلَى ٱلسَّمَآءِ فَسَوَّىٰهُنَّ سَبْعَ سَمَٰوَٰتٍ وَهُوَ بِكُلِّ شَىْءٍ عَلِيمٌ,"It is Allah alone Who created everything on earth for you: the countless rivers, trees and so on, from which you benefit and enjoy. Then He turned to the sky, making it into seven heavens, and He has knowledge of everything."
"Remember, when your Lord said to the angels: ""I have to place a trustee on the earth,"" they said: ""Will You place one there who would create disorder and shed blood, while we intone Your litanies and sanctify Your name?"" And God said: ""I know what you do not know.""",29,2,وَإِذْ قَالَ رَبُّكَ لِلْمَلَٰٓئِكَةِ إِنِّى جَاعِلٌ فِى ٱلْأَرْضِ خَلِيفَةً قَالُوٓا۟ أَتَجْعَلُ فِيهَا مَن يُفْسِدُ فِيهَا وَيَسْفِكُ ٱلدِّمَآءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ قَالَ إِنِّىٓ أَعْلَمُ مَا لَا تَعْلَمُونَ,"Allah tells His Prophet and humankind that He said to the angels that He would put humans on earth who will give birth to other humans, to inhabit it according to His laws. The angels asked their Lord, trying to understand, what the wisdom behind making the children of Adam guardians of the earth was, when they would ruin things in it, and kill in it, while the angels always do as He tells them, and recognise His greatness, praising Him and honouring His power and perfection. Allah replied to their question, saying that He knew the deep wisdom behind His creation of them, and behind making them guardians, and the angels did not."
"Then He gave Adam knowledge of the nature and reality of all things and everything, and set them before the angels and said: ""Tell Me the names of these if you are truthful.""",30,2,وَعَلَّمَ ءَادَمَ ٱلْأَسْمَآءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى ٱلْمَلَٰٓئِكَةِ فَقَالَ أَنۢبِـُٔونِى بِأَسْمَآءِ هَٰٓؤُلَآءِ إِن كُنتُمْ صَٰدِقِينَ,"To reveal the position of Adam, Allah taught him the names of everything, living things and objects, their pronunciation and meanings. Then he put them before the angels, instructing them to tell Him the names if they were telling the truth when they said that they were a nobler and better creation than Adam."
"And they said: ""Glory to You (O Lord), knowledge we have none except what You have given us, for You are all-knowing and all-wise.""",31,2,قَالُوا۟ سُبْحَٰنَكَ لَا عِلْمَ لَنَآ إِلَّا مَا عَلَّمْتَنَآ إِنَّكَ أَنتَ ٱلْعَلِيمُ ٱلْحَكِيمُ,"Recognising their shortcomings and that everything comes from Allah, they said that they acknowledged that His judgement and sacred law could not be doubted, and that they had no knowledge except for the knowledge He had given them, accepting that He is the Knowing, from Whom nothing is hidden, and the Wise in His decrees and laws."
"Then He said to Adam: ""Convey to them their names."" And when he had told them, God said: ""Did I not tell you that I know the unknown of the heavens and the earth, and I know what you disclose and know what you hide?""",32,2,قَالَ يَٰٓـَٔادَمُ أَنۢبِئْهُم بِأَسْمَآئِهِمْ فَلَمَّآ أَنۢبَأَهُم بِأَسْمَآئِهِمْ قَالَ أَلَمْ أَقُل لَّكُمْ إِنِّىٓ أَعْلَمُ غَيْبَ ٱلسَّمَٰوَٰتِ وَٱلْأَرْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنتُمْ تَكْتُمُونَ,"Then Allah told Adam to tell them the names. When Adam told the angels the names of things, as he had been taught, Allah reminded the angels that He had told them that He knew everything hidden in the heavens and the earth, and what they made public and what they said inside of themselves."
"Remember, when We asked the angels to bow in homage to Adam, they all bowed but Iblis, who disdained and turned insolent, and so became a disbeliever.",33,2,وَإِذْ قُلْنَا لِلْمَلَٰٓئِكَةِ ٱسْجُدُوا۟ لِءَادَمَ فَسَجَدُوٓا۟ إِلَّآ إِبْلِيسَ أَبَىٰ وَٱسْتَكْبَرَ وَكَانَ مِنَ ٱلْكَٰفِرِينَ,"Allah reveals that He told the angels to prostrate to Adam out of recognition and respect, so they prostrated to him, eager to do as He told them, except for Iblīs, or Satan, who was originally from the jinn. Due to the excellence of his worship, Allah had entered Iblīs into the company of the angels; but he then returned to his lowly nature, refusing to prostrate as Allah told him to, and becoming proud towards Adam, leading to him becoming a disbeliever."
"And We said to Adam: ""Both you and your spouse live in the Garden, eat freely to your fill wherever you like, but approach not this tree or you will become transgressors.",34,2,وَقُلْنَا يَٰٓـَٔادَمُ ٱسْكُنْ أَنتَ وَزَوْجُكَ ٱلْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا حَيْثُ شِئْتُمَا وَلَا تَقْرَبَا هَٰذِهِ ٱلشَّجَرَةَ فَتَكُونَا مِنَ ٱلظَّٰلِمِينَ,"Allah told Adam to live with his wife, Eve, in the Garden, with nothing to ruin their bliss. They were instructed to consume the delightful food from anywhere in the Garden, but also to avoid going near a particular tree which they were forbidden to eat from. If they ate from the prohibited tree, they would become wrongdoers for disobeying Him."
"But Satan tempted them and had them banished from the (happy) state they were in. And We said: ""Go, one the antagonist of the other, and live on the earth for a time ordained, and fend for yourselves.""",35,2,فَأَزَلَّهُمَا ٱلشَّيْطَٰنُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِ وَقُلْنَا ٱهْبِطُوا۟ بَعْضُكُمْ لِبَعْضٍ عَدُوٌّ وَلَكُمْ فِى ٱلْأَرْضِ مُسْتَقَرٌّ وَمَتَٰعٌ إِلَىٰ حِينٍ,"Satan did not stop whispering to them, trying to trick them, until he made them slip and fall by eating from the tree which Allah had told them not to. For this Allah sent them out of the Garden, telling them and Satan to go down to the earth, some of them enemies to others, where they would stay and live, enjoying the good things there until their lifespan, and until the Final Hour arrived."
Then his Lord sent commands to Adam and turned towards him: Indeed He is compassionate and kind.,36,2,فَتَلَقَّىٰٓ ءَادَمُ مِن رَّبِّهِۦ كَلِمَٰتٍ فَتَابَ عَلَيْهِ إِنَّهُۥ هُوَ ٱلتَّوَّابُ ٱلرَّحِيمُ,"Adam received the words given to him by Allah, and was inspired to ask for forgiveness with them. These words of forgiveness are mentioned in Sūrah Al-A‘rāf: 23: ‘They said, “Our Lord, we have wronged ourselves. If You do not forgive us and have mercy on us, we will certainly be of the losers”’. Allah accepted Adam’s turning to Him and forgave him, for He is always forgiving and Merciful towards His creation."
"And We said to them: ""Go, all of you. When I send guidance, whoever follows it will neither have fear nor regret;",37,2,قُلْنَا ٱهْبِطُوا۟ مِنْهَا جَمِيعًا فَإِمَّا يَأْتِيَنَّكُم مِّنِّى هُدًى فَمَن تَبِعَ هُدَاىَ فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ,"Allah told them to go down together from the Garden to the earth, and said that when He sends guidance, through the prophets, those who follow it and have faith in His prophets will have nothing to fear in the world to come, and will not feel sorrow about what passed them by on earth."
"But those who deny and reject Our signs will belong to Hell, and there abide unchanged.""",38,2,وَٱلَّذِينَ كَفَرُوا۟ وَكَذَّبُوا۟ بِـَٔايَٰتِنَآ أُو۟لَٰٓئِكَ أَصْحَٰبُ ٱلنَّارِ هُمْ فِيهَا خَٰلِدُونَ,"As for those who disbelieve and deny His signs, they are the people of the fire of Hell, who will live there eternally."
"O children of Israel, remember the favours I bestowed on you. So keep your pledge to Me, and I will mine to you, and be fearful of Me,",39,2,يَٰبَنِىٓ إِسْرَٰٓءِيلَ ٱذْكُرُوا۟ نِعْمَتِىَ ٱلَّتِىٓ أَنْعَمْتُ عَلَيْكُمْ وَأَوْفُوا۟ بِعَهْدِىٓ أُوفِ بِعَهْدِكُمْ وَإِيَّٰىَ فَٱرْهَبُونِ,"O Children of the Prophet Jacob, remember the many blessings He gave you and be thankful for them. Fulfil your contract to Him, having faith in Him, His prophets and His sacred laws. If you fulfil your contract, He will fulfil His contract to you, as well as His promises to you of a good life on earth and a beautiful reward on the Day of Judgement. Fear Him alone and do not break His contract."
"And believe in what I have sent down which verifies what is already with you; and do not be the first to deny it, nor part with it for little gain; and beware of Me.",40,2,وَءَامِنُوا۟ بِمَآ أَنزَلْتُ مُصَدِّقًا لِّمَا مَعَكُمْ وَلَا تَكُونُوٓا۟ أَوَّلَ كَافِرٍۭ بِهِۦ وَلَا تَشْتَرُوا۟ بِـَٔايَٰتِى ثَمَنًا قَلِيلًا وَإِيَّٰىَ فَٱتَّقُونِ,"Also, have faith in the Qur’ān which Allah revealed to Muhammad (peace be upon him) confirming what came in the Torah, before its corruption, concerning the Oneness of Allah and the prophethood of Muhammad (peace be upon him), and do not be the first group to disbelieve. Do not exchange His signs – the verses which He has revealed – for the small price of position or leadership, and avoid His displeasure and punishment."
"Do not confuse truth with falsehood, nor conceal the truth knowingly.",41,2,وَلَا تَلْبِسُوا۟ ٱلْحَقَّ بِٱلْبَٰطِلِ وَتَكْتُمُوا۟ ٱلْحَقَّ وَأَنتُمْ تَعْلَمُونَ,"Do not hide the truth, which He revealed to His prophets, with lies and falsehood; and do not hide the truth of the description of Muhammad which came in His scripture, when you know what the truth is and are convinced of it."
"Be firm in devotion; give zakat (the due share of your wealth for the welfare of others), and bow with those who bow (before God).",42,2,وَأَقِيمُوا۟ ٱلصَّلَوٰةَ وَءَاتُوا۟ ٱلزَّكَوٰةَ وَٱرْكَعُوا۟ مَعَ ٱلرَّٰكِعِينَ,"Establish the prayers properly with its obligatory and recommended parts; give Zakat from your wealth, which Allah has put in your hands; and be humble to Allah with those who are humble of Muhammad’s nation (peace be upon him)."
